n,theta,i,top,bottom,width,sum_width_plus_2,theory_W_n
14,3,1,1,1189731495357231765085759326628007130763444687096510237472674821233261358180483686904488595472612039915115437484839309258897667381308687426274524698341565006080871634366004897522143251619531446845952345709482135847036647464830984784714280967845614138476044338404886122905286855313236158695999885790106357018120815363320780964323712757164290613406875202417365323950267880089067517372270610835647545755780793431622213451903817859630690311343850657539360649645193283178291767658965405285113556134369793281725888015908414675289832538063419234888599898980623114025121674472051872439321323198402942705341366951274739014593816898288994445173400364617928377138074411345791848573595077170437644191743889644885377684738322240608239079061399475675334739784016491742621485229014847672335977897158397334226349734811441653077758250988926030894789604676153104257260141806823027588003441951455327701598071281589597169413965608439504983171255062282026626200048042149808200002060993433681237623857880627479727072877482838438705048034164633337013385405998040701908662387301605018188262573723766279240798931717708807901740265407930976419648877869604017517691938687988088008944251258826969688364194133945780157844364946052713655454906327187428531895100278695119323496808703630436193927592692344820812834297364478686862064169042458555136532055050508189891866846863799917647547291371573500701015197559097453040033031520683518216494195636696077748110598284901343611469214274121810495077979275556645164983850062051066517084647369464036640569339464837172183352956873912042640003611618789278195710052094562761306703551840330110645101995435167626688669627763820604342480357906415354212732946756073006907088870496125050068156659252761297664065498347492661798824062312210409274584565587264846417650160123175874034726261957289081466197651553830744424709698634753627770356227126145052549125229448040149114795681359875968512808575244271871455454084894986155020794806980939215658055319165641681105966454159951476908583129721503298816585142073061480888021769818338417129396878371459575846052583142928447249703698548125295775920936450022651427249949580708203966082847550921891152133321048011973883636577825533325988852156325439335021315312134081390451021255363707903495916963125924201167877190108935255914539488216897117943269373608639074472792751116715127106396425081353553137213552890539802602978645319795100976432939091924660228878912900654210118287298298707382159717184569540515403029173307292454390698820538600224831988189355883969324543649204840801194769749285436146915283985218098833040188240741116649351094249471362994572397575627163859049397780538928622143347657347231445372107558564999094529612630097971910658036655029356985716271219633682683518153374698624359905750845263997245792864621017105026008137571845021529467225306558075365747661239997272662504572766801166905526931262636665755955539671668134034363099094801355838024091041809639890559824201943874297484794891532123776032561281668647625978626604657006779426612961565436794752444624979128758173413675895208107943966519168145029389917375695334315447340552148099151401994619269182231499956211854873785514515677390008574943994250989281084756819113645597165567295400782904693473444830143705033194119407408981356641604566706444430722594370705563821335572452829812089600716362256839540124899130876885173662866627897022127791840222575631847751956359285090960830988341945977912166213026567486959732959209417653570532400085421626909931122122333676266392807478895292860520305113128877860778017335257628783851232165484794188789550169477423574657990408895582591819684888716514820723339949673752492589554273227311234307101080051035845316293397403445393736938601068221417585544736142057504074149119038453641095657997159369043582844512918298782312476417460233927579138731056107942219433504230522596039897201784354094873161720075380673118834695661136277396041604898879900903693130020176366331069931168572072506843360040975613732326992662016435154577813142022281059004926591522086828524439967261058052288056208595698552214679929225756217286438908766789976529054986749438392428708976120950243024765799384406976010715324701494850258863131156933314782257540543265551792066030290873592583701196959584847904513399795163677525326255408583649603372746072189439194016972400371189093115511380633919617134152237070847381308488929368150090595772154815208361964378796742421421158891657044581293096139658396630649588389429334080169181896459344363009100543798301801647692344565041437016215348375792868945849819422151094031257524045949538818827123226427511039466500668290566797315950071031235587640303228330902405628441474922816285253233200409201704762114925240561289293757440211258843745289742483799689938960866154739313919542696939432476394782280135338056356774496282960744750018635457846020095702825795730360990246509411505367657867839876635280459539149319243350768261632622688236432465197489103248419355490463260521625194248273920,1,2303,2303
14,3,2,2,1090748135619415929462984244733782862448264161996232692431832786189721331849119295216264234525201987223957291796157025273109870820177184063610979765077554799078906298842192989538609825228048205159696851613591638196771886542609324560121290553901886301017900252535799917200010079600026535836800905297805880952350501630195475653911005312364560014847426035293551245843928918752768696279344088055617515694349945406677825140814900616105920256438504578013326493565836047242407382442812245131517757519164899226365743722432277368075027627883045206501792761700945699168497257879683851737049996900961120515655050115561271491492515342105748966629547032786321505730828430221664970324396138635251626409516168005427623435996308921691446181187406395310665404885739434832877428167407495370993511868756359970390117021823616749458620969857006263612082706715408157066575137281027022310927564910276759160520878304632411049364568754920967322982459184763427383790272448438018526977764941072715611580434690827459339991961414242741410599117426060556483763756314527611362658628383368621157993638020878537675545336789915694234433955666315070087213535470255670312004130725495834508357439653828936077080978550578912967907352780054935621561090795845172954115972926435488646325407501512365848213380395168763512806429730109607098577644744240048503459529594006823631373147762011780218660740030215430505248911586325182120160839367048207709418842650690943826010989109302792718425868852384783378651199618535121913835737651699662333815683378345818068070160548347800369481364172406204671458973952634913932812733482191175501628465349005403383205634207163186366050321349674463279843106828789837369958673440743379029655723491233599261110682223445532527992025505094106028374148434683256837486589543018181873279720349434704460879700399438016504650780473547823239120431423814382915239771713285086798751923825359346515261480728322427217167293613096521198247560588729708788376007087530154941809492620352947595475014394229254625965054086766970439573627357949092810593883736061141168581582787315634913260797956280083967967201275577888581524322407185240031043931510925713450658807511908275263101371880394716465807521940885628037330976885109586390268456528362201664202524947917653322271271470730573883899274644538470640093205628124760082118516398285556726512915645798229781241791101398278815512033744564071010914628794915292515492524789530849844709747037539932187090270337487885794730917151571753381797325072561602560,2,2303,2303
14,3,3,4,1044388881413152506691752710716624382579964249047383780384233483283953907971557456848826811934997558340890106714439262837987573438185793607263236087851365277945956976543709998340361590134383718314428070011855946226376318839397712745672334684344586617496807908705803704071284048740118609114467977783598029006686938976881787785946905630190260940599579453432823469303026696443059025015972399867714215541693835559885291486318237914434496734087811872639496475100189041349008417061675093668333850551032972088269550769983616369411933015213796825837188091833656751221318492846368125550225998300412344784862595674492194617023774188907174299818431120503398938670142390167527982718281038672250482020056617189028439217958762461661095296946237237440488670954249120630699182954444685807463642006912490558758032756573144864958427211423010838419416209904320775931621040854102139836942364029067786745528754801263275255572023493503792206541186428523051062105479286926994901193978367674231926737841718190431468443009066164503568191274591482133452385466754657575807952456415920200667342675683651625588293191772291620716891753772421453754942251261942325159403931650834773087264785777247077752391129614356077901998275463259428483942050248854729343557959680,4,2303,2303
14,3,4,8,32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521734564076182110829912044267485667021494378337432091400804375578173293516902959351017550115541769580704823489838590463999939561383487229281910850182593813106849357791285954724448854882125685229350225459628571692166207846586010535756741612055848610098380251624748643306405371232666472431888720497281435372093440,8,2303,2303
14,3,5,16,179769313486231590772930519078902473361797697894230657273430081157732675805500963132708477322407536021120113879871393357658789768814416622492847430639474110969959963482268385702277221395399966640087262359691628045276706960578432807926936308666529070259922820652728111753896392184596904358265409895975218053120,16,2303,2303
14,3,6,32,13407807929942597099574024998205846127479365820592393377723561443721764030073431184712636981971479856705023170278632780869088242247907112362425735876444160,32,2303,2303
14,3,7,64,115792089237316195423570985008687907852929702298719625575994209400481361428480,64,2303,2303
14,3,8,128,340282366920938463444927863358058659840,128,2303,2303
14,3,9,256,18446744069414584320,256,2303,2303
14,3,10,512,4294901760,512,2303,2303
